النموذج	م	الجانب	الهدف	المعيار	اقل قيمة	اعلى قيمة	اسم المعيار في النموذج	درجة المعيار	الترتيب	حالة العرض	المستوى
نموذج تقييم ERP System	5440	نظام الاصول الثابتة	نظام الاصول - خدمات العملاء	تقرير تخصيص المعدات للعميل: محدد مع نطاق التاريخ ، وفرزًا حسب فئة المعدات ومعرف الوحدة	0	0	تقرير تخصيص المعدات للعميل: محدد مع نطاق التاريخ ، وفرزًا حسب فئة المعدات ومعرف الوحدة	0	1098	1	0
نموذج تقييم ERP System	5439	نظام الاصول الثابتة	نظام الاصول - خدمات العملاء	تقارير التوفر: حدد النطاق الزمني ، فئة المعدات	0	0	تقارير التوفر: حدد النطاق الزمني ، فئة المعدات	0	1099	1	0
نموذج تقييم ERP System	5438	نظام الاصول الثابتة	نظام الاصول - خدمات العملاء	تقرير تاريخ وحدة المعدات: الصيانة والإصلاحات واستهلاك الوقود - معرّف الوحدة ونطاق التاريخ وأنواع الإصلاح	0	0	تقرير تاريخ وحدة المعدات: الصيانة والإصلاحات واستهلاك الوقود - معرّف الوحدة ونطاق التاريخ وأنواع الإصلاح	0	1100	1	0
نموذج تقييم ERP System	5437	نظام الاصول الثابتة	نظام الاصول - خدمات العملاء	تقرير عن معدات حوض السباحة المستأجرة للعميل ، مع تواريخ الاستحقاق ومعدلات الإيجار	0	0	تقرير عن معدات حوض السباحة المستأجرة للعميل ، مع تواريخ الاستحقاق ومعدلات الإيجار	0	1101	1	0
نموذج تقييم ERP System	5436	نظام الاصول الثابتة	نظام الاصول - خدمات العملاء	التغييرات المرتقبة في تخصيص المعدات: الوحدات الجديدة ، الاستغناء عن الخدمة	0	0	التغييرات المرتقبة في تخصيص المعدات: الوحدات الجديدة ، الاستغناء عن الخدمة	0	1102	1	0
نموذج تقييم ERP System	5435	نظام الاصول الثابتة	نظام الاصول - خدمات العملاء	قدم للعملاء قائمة من التقارير المعلبة والمخصصة المناسبة لدورهم	0	0	قدم للعملاء قائمة من التقارير المعلبة والمخصصة المناسبة لدورهم	0	1103	1	0
نموذج تقييم ERP System	5434	نظام الاصول الثابتة	نظام الاصول - خدمات العملاء	التقارير المخصصة من قبل العملاء - وصف خيارات إعداد التقارير ذاتية الخدمة المتاحة لأدوار العملاء	0	0	التقارير المخصصة من قبل العملاء - وصف خيارات إعداد التقارير ذاتية الخدمة المتاحة لأدوار العملاء	0	1104	1	0
نموذج تقييم ERP System	5433	نظام الاصول الثابتة	نظام الاصول - خدمات العملاء	الوصول إلى التقارير ومعلومات لوحة المعلومات مؤمن ومقتصر على أدوار مستخدم محددة	0	0	الوصول إلى التقارير ومعلومات لوحة المعلومات مؤمن ومقتصر على أدوار مستخدم محددة	0	1105	1	0
نموذج تقييم ERP System	5432	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	يجب أن يوفر الحل مجموعة شاملة من التقارير المعدة مسبقًا. - توفير قائمة بالتقارير المعيارية الهامة في أحد المرفقات. - يتم سرد تقارير المدينة الأكثر استخدامًا من FMIS الحالي في الملحق 2 ؛ يجب تضمين هذه التقارير في العرض التجاري	0	0	يجب أن يوفر الحل مجموعة شاملة من التقارير المعدة مسبقًا. - توفير قائمة بالتقارير المعيارية الهامة في أحد المرفقات. - يتم سرد تقارير المدينة الأكثر استخدامًا من FMIS الحالي في الملحق 2 ؛ يجب تضمين هذه التقارير في العرض التجاري	0	1106	1	0
نموذج تقييم ERP System	5431	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	تستخدم العديد من أنظمة المدن SSRS كأداة لإعداد التقارير. ما هي أنظمة التقارير أو ذكاء الأعمال التي تدعمها وما هي الخيارات المتاحة؟	0	0	تستخدم العديد من أنظمة المدن SSRS كأداة لإعداد التقارير. ما هي أنظمة التقارير أو ذكاء الأعمال التي تدعمها وما هي الخيارات المتاحة؟	0	1107	1	0
نموذج تقييم ERP System	5430	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	هل يمكن تعديل التقارير القياسية لدعم احتياجات المدينة دون أي تكلفة إضافية على المدينة؟	0	0	هل يمكن تعديل التقارير القياسية لدعم احتياجات المدينة دون أي تكلفة إضافية على المدينة؟	0	1108	1	0
نموذج تقييم ERP System	5429	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	صِف الأدوات والعملية اللازمة لتعديل التقارير المعدة مسبقًا أو إنشاء تقارير قياسية جديدة.	0	0	صِف الأدوات والعملية اللازمة لتعديل التقارير المعدة مسبقًا أو إنشاء تقارير قياسية جديدة.	0	1109	1	0
نموذج تقييم ERP System	5428	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	يوفر الحل العديد من مكونات التقارير والتقارير الفرعية لتبسيط تطوير التقارير.	0	0	يوفر الحل العديد من مكونات التقارير والتقارير الفرعية لتبسيط تطوير التقارير.	0	1110	1	0
نموذج تقييم ERP System	5427	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	يستخدم الحل مصدرًا شائعًا قابلاً للتكوين للأنماط الافتراضية لعناصر التقرير ، مثل ملف CSS أو RES ، للحفاظ على "مظهر" عرض تقديمي متسق. قد تتجاوز التقارير الفردية الأنماط الافتراضية.	0	0	يستخدم الحل مصدرًا شائعًا قابلاً للتكوين للأنماط الافتراضية لعناصر التقرير ، مثل ملف CSS أو RES ، للحفاظ على "مظهر" عرض تقديمي متسق. قد تتجاوز التقارير الفردية الأنماط الافتراضية.	0	1111	1	0
نموذج تقييم ERP System	5426	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	يمكن للحل تقييد الوصول إلى تقرير محدد حسب دور الموظف. مثال - مشرف ، مدير ، مجدول ، عميل	0	0	يمكن للحل تقييد الوصول إلى تقرير محدد حسب دور الموظف. مثال - مشرف ، مدير ، مجدول ، عميل	0	1112	1	0
نموذج تقييم ERP System	5425	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	يمكن لمستخدمي الأعمال جدولة التقارير للتشغيل في أوقات أو فترات زمنية محددة ، والاشتراك في التقارير ، وتلقي إشعارات البريد الإلكتروني بأخطاء التقارير	0	0	يمكن لمستخدمي الأعمال جدولة التقارير للتشغيل في أوقات أو فترات زمنية محددة ، والاشتراك في التقارير ، وتلقي إشعارات البريد الإلكتروني بأخطاء التقارير	0	1113	1	0
نموذج تقييم ERP System	5424	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	الحل لديه القدرة على إنشاء تقارير مخصصة مخصصة أو استعلامات البيانات ، والتي يمكن تشغيلها عند الطلب أو حفظها وتشغيلها وفقًا لجدول (التاريخ / الوقت) مع تحديد نوع الإخراج والوجهة بواسطة مؤلف التقرير. على سبيل المثال: يتم تشغيل تقرير اكتمال PM على أساس شهري و	0	0	الحل لديه القدرة على إنشاء تقارير مخصصة مخصصة أو استعلامات البيانات ، والتي يمكن تشغيلها عند الطلب أو حفظها وتشغيلها وفقًا لجدول (التاريخ / الوقت) مع تحديد نوع الإخراج والوجهة بواسطة مؤلف التقرير. على سبيل المثال: يتم تشغيل تقرير اكتمال PM على أساس شهري و	0	1114	1	0
نموذج تقييم ERP System	5423	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	يسمح محرك التقارير بطباعة تقارير كاملة أو جزئية ، وتصدير التقارير إلى Excel و PDF و HTML	0	0	يسمح محرك التقارير بطباعة تقارير كاملة أو جزئية ، وتصدير التقارير إلى Excel و PDF و HTML	0	1115	1	0
نموذج تقييم ERP System	5422	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	هل يوجد مستودع بيانات يستخدم لإعداد التقارير؟ وصف أنواع البيانات التي يتم الوصول إليها من مستودع البيانات.	0	0	هل يوجد مستودع بيانات يستخدم لإعداد التقارير؟ وصف أنواع البيانات التي يتم الوصول إليها من مستودع البيانات.	0	1116	1	0
نموذج تقييم ERP System	5421	نظام الاصول الثابتة	نظام الاصول - التقارير والاستعلامات	وصف أدوات واجهة المستخدم المتاحة لعرض البيانات ومؤشرات الأداء الرئيسية والرسومات	0	0	وصف أدوات واجهة المستخدم المتاحة لعرض البيانات ومؤشرات الأداء الرئيسية والرسومات	0	1117	1	0
نموذج تقييم ERP System	5420	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	"راجع الملحق 1 - جدول المتطلبات ، التدريب للحصول على تفاصيل التسليم المطلوب. تقديم مخطط تفصيلي لخطة التدريب النموذجية. "	0	0	"راجع الملحق 1 - جدول المتطلبات ، التدريب للحصول على تفاصيل التسليم المطلوب. تقديم مخطط تفصيلي لخطة التدريب النموذجية. "	0	1118	1	0
نموذج تقييم ERP System	5419	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	قدم مثالاً لمواد تدريب المستخدم النهائي القياسية. (فصل واحد عن وظيفة أمر العمل كافٍ)	0	0	قدم مثالاً لمواد تدريب المستخدم النهائي القياسية. (فصل واحد عن وظيفة أمر العمل كافٍ)	0	1119	1	0
نموذج تقييم ERP System	5418	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	تحديث مواد التدريب لإصدارات المنتجات ؛ يتم توفير ملاحظات الإصدار مع تصحيحات وإصلاحات عاجلة	0	0	تحديث مواد التدريب لإصدارات المنتجات ؛ يتم توفير ملاحظات الإصدار مع تصحيحات وإصلاحات عاجلة	0	1120	1	0
نموذج تقييم ERP System	5417	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	تدريب المستخدم الجديد: تتوفر ندوات عبر الإنترنت أو مقاطع فيديو أو بيئات تدريب للتدريب الموجه ذاتيًا	0	0	تدريب المستخدم الجديد: تتوفر ندوات عبر الإنترنت أو مقاطع فيديو أو بيئات تدريب للتدريب الموجه ذاتيًا	0	1121	1	0
نموذج تقييم ERP System	5416	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	صف أي طرق تقييم للتحقق من فعالية التدريب لكل فرد ، لكل وحدة تدريبية.	0	0	صف أي طرق تقييم للتحقق من فعالية التدريب لكل فرد ، لكل وحدة تدريبية.	0	1122	1	0
نموذج تقييم ERP System	5415	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	يجب على مقدم الاقتراح إنشاء جدول تدريب ، بالاشتراك مع فريق المشروع أو غيره من موظفي التدريب المعينين في المدينة ، للتشغيل خلال ساعات المدينة الأساسية ولتشمل مواقع التدريب المعينة.	0	0	يجب على مقدم الاقتراح إنشاء جدول تدريب ، بالاشتراك مع فريق المشروع أو غيره من موظفي التدريب المعينين في المدينة ، للتشغيل خلال ساعات المدينة الأساسية ولتشمل مواقع التدريب المعينة.	0	1123	1	0
نموذج تقييم ERP System	5414	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	راجع الملحق 1 - جدول المتطلبات ، إدارة المشروع للحصول على تفاصيل التسليم المطلوب. حدد أي استثناءات للقائمة المطلوبة في قسم التعليقات.	0	0	راجع الملحق 1 - جدول المتطلبات ، إدارة المشروع للحصول على تفاصيل التسليم المطلوب. حدد أي استثناءات للقائمة المطلوبة في قسم التعليقات.	0	1124	1	0
نموذج تقييم ERP System	5413	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	يجب تقديم جميع المستندات في نسختين إلكترونية ورقية.	0	0	يجب تقديم جميع المستندات في نسختين إلكترونية ورقية.	0	1125	1	0
نموذج تقييم ERP System	5412	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	تتوفر خارطة طريق تطوير المنتج للسنوات الثلاث القادمة. قدم التفاصيل ، إن وجدت.	0	0	تتوفر خارطة طريق تطوير المنتج للسنوات الثلاث القادمة. قدم التفاصيل ، إن وجدت.	0	1126	1	0
نموذج تقييم ERP System	5411	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	توجد قواعد معرفية عبر الإنترنت أو موارد مساعدة للمستخدمين	0	0	توجد قواعد معرفية عبر الإنترنت أو موارد مساعدة للمستخدمين	0	1127	1	0
نموذج تقييم ERP System	5410	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	تتم مشاركة طلبات التحسين من مجتمع العميل مع المجتمع للمناقشة والتصنيف ؛ تظهر التحسينات المختارة للتطوير في قائمة الأولويات أو خارطة الطريق مع جدول زمني	0	0	تتم مشاركة طلبات التحسين من مجتمع العميل مع المجتمع للمناقشة والتصنيف ؛ تظهر التحسينات المختارة للتطوير في قائمة الأولويات أو خارطة الطريق مع جدول زمني	0	1128	1	0
نموذج تقييم ERP System	5409	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	الحل يحتوي على أدوات المراقبة والإدارة	0	0	الحل يحتوي على أدوات المراقبة والإدارة	0	1129	1	0
نموذج تقييم ERP System	5408	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	يتم توفير الوثائق لواجهات التثبيت والنظام. قم بتضمين تعليمات الإعداد و / أو البرامج النصية لخوادم قاعدة البيانات وخوادم الويب وخوادم التطبيقات وأجهزة العميل مع معلمات الإعداد.	0	0	يتم توفير الوثائق لواجهات التثبيت والنظام. قم بتضمين تعليمات الإعداد و / أو البرامج النصية لخوادم قاعدة البيانات وخوادم الويب وخوادم التطبيقات وأجهزة العميل مع معلمات الإعداد.	0	1130	1	0
نموذج تقييم ERP System	5407	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	يتم توفير الوثائق لإعدادات التكوين والنسخ الاحتياطي للتكوين ومسار مراجعة التكوين.	0	0	يتم توفير الوثائق لإعدادات التكوين والنسخ الاحتياطي للتكوين ومسار مراجعة التكوين.	0	1131	1	0
نموذج تقييم ERP System	5406	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	يتم توفير المستندات لإجراءات التعافي من الكوارث وتوصيات النسخ الاحتياطي. تضمين البرامج النصية حسب الاقتضاء.	0	0	يتم توفير المستندات لإجراءات التعافي من الكوارث وتوصيات النسخ الاحتياطي. تضمين البرامج النصية حسب الاقتضاء.	0	1132	1	0
نموذج تقييم ERP System	5405	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	وصف أدوار أمان التطبيق وامتيازات / قيود الوصول الممنوحة لكل دور. حدد العناصر التي تسمح بتكوين حقوق الوصول.	0	0	وصف أدوار أمان التطبيق وامتيازات / قيود الوصول الممنوحة لكل دور. حدد العناصر التي تسمح بتكوين حقوق الوصول.	0	1133	1	0
نموذج تقييم ERP System	5404	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	يوفر الحل إجراءات أو أدوات لاستكشاف المشكلات الفنية وإصلاحها.	0	0	يوفر الحل إجراءات أو أدوات لاستكشاف المشكلات الفنية وإصلاحها.	0	1134	1	0
نموذج تقييم ERP System	5403	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	قدم مثالاً للإرشادات الخاصة بتثبيت ترقية إصدار حديث وإصلاح / تصحيح.	0	0	قدم مثالاً للإرشادات الخاصة بتثبيت ترقية إصدار حديث وإصلاح / تصحيح.	0	1135	1	0
نموذج تقييم ERP System	5402	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	يتم توفير الوثائق لواجهة برمجة التطبيقات وخدمات الويب ، مع رمز مثال.	0	0	يتم توفير الوثائق لواجهة برمجة التطبيقات وخدمات الويب ، مع رمز مثال.	0	1136	1	0
نموذج تقييم ERP System	5401	نظام الاصول الثابتة	نظام الاصول - التدريب والتوثيق	يتم توفير الوثائق لعمليات التخصيص والتكامل لأنظمة المدينة الأخرى. توجد تفاصيل كافية لمسؤولي تطبيقات المدينة لتقييم تأثير تغييرات نظام الطرف الثالث على التخصيصات والتكامل.	0	0	يتم توفير الوثائق لعمليات التخصيص والتكامل لأنظمة المدينة الأخرى. توجد تفاصيل كافية لمسؤولي تطبيقات المدينة لتقييم تأثير تغييرات نظام الطرف الثالث على التخصيصات والتكامل.	0	1137	1	0
نموذج تقييم ERP System	5479	نظام الاصول الثابتة	حسابات الاصول الثابتة	يتم تحديد نموذج الفوترة عند إنشاء أمر العمل ، لكل نشاط ، من قواعد العمل المقابلة لوحدة المعدات ، وتخصيص العميل ، وسبب الإصلاح ؛ على سبيل المثال ، قد يحتوي طلب العمل على كل من الإصلاح ونشاط PM ، وقد يكون الإصلاح عبارة عن تكلفة مباشرة يتم تحرير فواتير بها ل	0	0	يتم تحديد نموذج الفوترة عند إنشاء أمر العمل ، لكل نشاط ، من قواعد العمل المقابلة لوحدة المعدات ، وتخصيص العميل ، وسبب الإصلاح ؛ على سبيل المثال ، قد يحتوي طلب العمل على كل من الإصلاح ونشاط PM ، وقد يكون الإصلاح عبارة عن تكلفة مباشرة يتم تحرير فواتير بها ل	0	1059	1	0
نموذج تقييم ERP System	5478	نظام الاصول الثابتة	حسابات الاصول الثابتة	يمكن تحديد حقول متعددة لفئات الفوترة ، لاستخدامها في كل سطر إصلاح لأمر العمل. على سبيل المثال ، متجر ، نوع الفواتير ، فئة البند (قطع غيار ، عمالة ، سحب ، وقود) ، كود سبب الإصلاح ، نوع العمل (التشغيل ، رأس المال ، الإصلاح)	0	0	يمكن تحديد حقول متعددة لفئات الفوترة ، لاستخدامها في كل سطر إصلاح لأمر العمل. على سبيل المثال ، متجر ، نوع الفواتير ، فئة البند (قطع غيار ، عمالة ، سحب ، وقود) ، كود سبب الإصلاح ، نوع العمل (التشغيل ، رأس المال ، الإصلاح)	0	1060	1	0
نموذج تقييم ERP System	5477	نظام الاصول الثابتة	حسابات الاصول الثابتة	الحصول على رسوم لجميع موارد المهام المستندة إلى الوقت: القوى العاملة ، مساحة العمل	0	0	الحصول على رسوم لجميع موارد المهام المستندة إلى الوقت: القوى العاملة ، مساحة العمل	0	1061	1	0
نموذج تقييم ERP System	5476	نظام الاصول الثابتة	حسابات الاصول الثابتة	رسوم الالتقاط للعمالة كما ورد في أوامر العمل. يمكن تحديد معدلات العمالة من خلال: - المعدل المركب (المعدل الثابت) - دور أو رتبة فني ؛ على سبيل المثال المهارات الخاصة أو المتدرب - التصنيف العادي أو الإضافي	0	0	رسوم الالتقاط للعمالة كما ورد في أوامر العمل. يمكن تحديد معدلات العمالة من خلال: - المعدل المركب (المعدل الثابت) - دور أو رتبة فني ؛ على سبيل المثال المهارات الخاصة أو المتدرب - التصنيف العادي أو الإضافي	0	1062	1	0
نموذج تقييم ERP System	5475	نظام الاصول الثابتة	حسابات الاصول الثابتة	رسوم الالتقاط لجميع الأجزاء ، ومستلزمات العمل ، واستخدام الأدوات المتخصصة (مثل آلات اللحام)	0	0	رسوم الالتقاط لجميع الأجزاء ، ومستلزمات العمل ، واستخدام الأدوات المتخصصة (مثل آلات اللحام)	0	1063	1	0
نموذج تقييم ERP System	5474	نظام الاصول الثابتة	حسابات الاصول الثابتة	رسوم القبض على sublets	0	0	رسوم القبض على sublets	0	1064	1	0
نموذج تقييم ERP System	5473	نظام الاصول الثابتة	حسابات الاصول الثابتة	الحصول على أرصدة لاسترداد أوامر العمل ، مثل إصلاحات الضمان والمبالغ المستردة الأساسية	0	0	الحصول على أرصدة لاسترداد أوامر العمل ، مثل إصلاحات الضمان والمبالغ المستردة الأساسية	0	1065	1	0
نموذج تقييم ERP System	5472	نظام الاصول الثابتة	حسابات الاصول الثابتة	الحصول على قيمة أعمال الضمان كرسم على المعدات ؛ سجل $ 0 مستحق الدفع	0	0	الحصول على قيمة أعمال الضمان كرسم على المعدات ؛ سجل $ 0 مستحق الدفع	0	1066	1	0
نموذج تقييم ERP System	5471	نظام الاصول الثابتة	حسابات الاصول الثابتة	قد يتم ترميز بنود أمر العمل إلى طرق فوترة مختلفة ؛ على سبيل المثال ، بسعر التكلفة ، وبأسعار معقولة ، والأسعار القياسية ، والضمان قابل للاسترداد	0	0	قد يتم ترميز بنود أمر العمل إلى طرق فوترة مختلفة ؛ على سبيل المثال ، بسعر التكلفة ، وبأسعار معقولة ، والأسعار القياسية ، والضمان قابل للاسترداد	0	1067	1	0
نموذج تقييم ERP System	5470	نظام الاصول الثابتة	حسابات الاصول الثابتة	إضافة رسوم محسوبة إلى أوامر العمل عند الإغلاق الفني ، التي تحددها قواعد العمل ؛ على سبيل المثال رسوم المحل ، رسوم الاستغناء عن قطع الغيار ، رسوم البيئة	0	0	إضافة رسوم محسوبة إلى أوامر العمل عند الإغلاق الفني ، التي تحددها قواعد العمل ؛ على سبيل المثال رسوم المحل ، رسوم الاستغناء عن قطع الغيار ، رسوم البيئة	0	1068	1	0
نموذج تقييم ERP System	5469	نظام الاصول الثابتة	حسابات الاصول الثابتة	يمكن لأدوار المشرف تجاوز الرسوم / الاعتمادات لجميع موارد المهام في طلب العمل	0	0	يمكن لأدوار المشرف تجاوز الرسوم / الاعتمادات لجميع موارد المهام في طلب العمل	0	1069	1	0
نموذج تقييم ERP System	5468	نظام الاصول الثابتة	حسابات الاصول الثابتة	تضاف رسوم الوقود إلى الفواتير الشهرية ، بناءً على المدخلات من نظام (أنظمة) إدارة الوقود ؛ سيتم الإبلاغ عن أنواع ووحدات وقود متعددة ، مثل الديزل والكهرباء والغاز الطبيعي المسال	0	0	تضاف رسوم الوقود إلى الفواتير الشهرية ، بناءً على المدخلات من نظام (أنظمة) إدارة الوقود ؛ سيتم الإبلاغ عن أنواع ووحدات وقود متعددة ، مثل الديزل والكهرباء والغاز الطبيعي المسال	0	1070	1	0
نموذج تقييم ERP System	5467	نظام الاصول الثابتة	حسابات الاصول الثابتة	منع التغييرات على الرسوم المرسلة للفواتير ؛ استخدام عملية التعديل لإجراء التصحيحات والتحديثات ؛ تضمين سبب التغيير	0	0	منع التغييرات على الرسوم المرسلة للفواتير ؛ استخدام عملية التعديل لإجراء التصحيحات والتحديثات ؛ تضمين سبب التغيير	0	1071	1	0
نموذج تقييم ERP System	5466	نظام الاصول الثابتة	حسابات الاصول الثابتة	السماح بجداول ترحيل متنوعة للتكاليف - ترحيل تكاليف أمر العمل يوميًا إلى SAP - ترحيل تكاليف الإيجار / الإيجار والوقود شهريًا إلى SAP	0	0	السماح بجداول ترحيل متنوعة للتكاليف - ترحيل تكاليف أمر العمل يوميًا إلى SAP - ترحيل تكاليف الإيجار / الإيجار والوقود شهريًا إلى SAP	0	1072	1	0
نموذج تقييم ERP System	5465	نظام الاصول الثابتة	حسابات الاصول الثابتة	يتم تسجيل رسوم استرداد رأس المال مقابل وحدات المعدات الفردية وفقًا لنموذج فوترة الوحدة	0	0	يتم تسجيل رسوم استرداد رأس المال مقابل وحدات المعدات الفردية وفقًا لنموذج فوترة الوحدة	0	1073	1	0
نموذج تقييم ERP System	5464	نظام الاصول الثابتة	حسابات الاصول الثابتة	احسب الإهلاك وفقًا لقواعد العمل - على سبيل المثال ، قد تطبق طريقة معينة على فئة المعدات - قد تخزن نتائج طرق متعددة مع بيانات الأصول - يجب أن تكون دقة الإهلاك قابلة للتكوين ومتسقة	0	0	احسب الإهلاك وفقًا لقواعد العمل - على سبيل المثال ، قد تطبق طريقة معينة على فئة المعدات - قد تخزن نتائج طرق متعددة مع بيانات الأصول - يجب أن تكون دقة الإهلاك قابلة للتكوين ومتسقة	0	1074	1	0
نموذج تقييم ERP System	5463	نظام الاصول الثابتة	حسابات الاصول الثابتة	سجل مبلغ مقطوع مدفوعات رأس المال مقابل وحدة المعدات	0	0	سجل مبلغ مقطوع مدفوعات رأس المال مقابل وحدة المعدات	0	1075	1	0
نموذج تقييم ERP System	5462	نظام الاصول الثابتة	حسابات الاصول الثابتة	جميع المعاملات متوازنة الخصم / الائتمان ؛ على سبيل المثال ، يتم توفير رموز حساب محددة لكل من جانبي الدفع والمستحق للمعاملة وإجماليات كل رصيد جانبي	0	0	جميع المعاملات متوازنة الخصم / الائتمان ؛ على سبيل المثال ، يتم توفير رموز حساب محددة لكل من جانبي الدفع والمستحق للمعاملة وإجماليات كل رصيد جانبي	0	1076	1	0
نموذج تقييم ERP System	5461	نظام الاصول الثابتة	حسابات الاصول الثابتة	تقرير عن المبالغ بالدولار الأمريكي للعمل الجاري بناءً على فترة زمنية محددة ؛ للسماح بالمحاسبة على أساس الاستحقاق في نهاية الشهر لأوامر العمل المفتوحة	0	0	تقرير عن المبالغ بالدولار الأمريكي للعمل الجاري بناءً على فترة زمنية محددة ؛ للسماح بالمحاسبة على أساس الاستحقاق في نهاية الشهر لأوامر العمل المفتوحة	0	1077	1	0
نموذج تقييم ERP System	5460	نظام الاصول الثابتة	حسابات الاصول الثابتة	استخدم المواعدة الفعالة عند إضافة أو حذف الحسابات (مراكز التكلفة وعناصر التكلفة و WBS وأوامر العمل ومعدلات التكوين وما إلى ذلك.	0	0	استخدم المواعدة الفعالة عند إضافة أو حذف الحسابات (مراكز التكلفة وعناصر التكلفة و WBS وأوامر العمل ومعدلات التكوين وما إلى ذلك.	0	1078	1	0
نموذج تقييم ERP System	5400	نظام الاصول الثابتة	تاجير الاصول	تتبع وصيانة مجموعة من المعدات المستأجرة ؛ بالنسبة للمعدات التي يتم الحصول عليها من الموردين التجاريين ، تتبع التكاليف والعقود والتذكيرات لتواريخ انتهاء العقد ؛ سيتم تضمين الأصول المملوكة للمدينة في المجمع	0	0	تتبع وصيانة مجموعة من المعدات المستأجرة ؛ بالنسبة للمعدات التي يتم الحصول عليها من الموردين التجاريين ، تتبع التكاليف والعقود والتذكيرات لتواريخ انتهاء العقد ؛ سيتم تضمين الأصول المملوكة للمدينة في المجمع	0	1138	1	0
نموذج تقييم ERP System	5399	نظام الاصول الثابتة	تاجير الاصول	قاعدة بيانات المعدات - الأنواع والمواصفات ومعدلات الفوترة ومطلوب الموافقة - مثيل الوحدة والمعرف والحالة (مفقودة / تم العثور عليها) والملاحظات ، مثل استبدال الوحدة	0	0	قاعدة بيانات المعدات - الأنواع والمواصفات ومعدلات الفوترة ومطلوب الموافقة - مثيل الوحدة والمعرف والحالة (مفقودة / تم العثور عليها) والملاحظات ، مثل استبدال الوحدة	0	1139	1	0
نموذج تقييم ERP System	5398	نظام الاصول الثابتة	تاجير الاصول	يوفر الحل كتالوجًا عبر الإنترنت لعناصر الإيجار المخزنة ، مع الأوصاف ، ومتطلبات التدريب الخاصة ، ومعدلات الإيجار الداخلية - تسمح للمستخدمين بتحديد العناصر في الكتالوج وإنشاء طلب تأجير لتواريخ محددة	0	0	يوفر الحل كتالوجًا عبر الإنترنت لعناصر الإيجار المخزنة ، مع الأوصاف ، ومتطلبات التدريب الخاصة ، ومعدلات الإيجار الداخلية - تسمح للمستخدمين بتحديد العناصر في الكتالوج وإنشاء طلب تأجير لتواريخ محددة	0	1140	1	0
نموذج تقييم ERP System	5397	نظام الاصول الثابتة	تاجير الاصول	ترتيب إيجارات تجارية قصيرة الأجل للسلع غير المخزنة	0	0	ترتيب إيجارات تجارية قصيرة الأجل للسلع غير المخزنة	0	1141	1	0
نموذج تقييم ERP System	5396	نظام الاصول الثابتة	تاجير الاصول	إدارة حجوزات المعدات والموافقات ؛ - تأكيد الحجوزات للعملاء - إرسال الإخطارات والتذكيرات - إدارة التجديدات والمرتجعات - إدارة المرتجعات المتأخرة	0	0	إدارة حجوزات المعدات والموافقات ؛ - تأكيد الحجوزات للعملاء - إرسال الإخطارات والتذكيرات - إدارة التجديدات والمرتجعات - إدارة المرتجعات المتأخرة	0	1142	1	0
نموذج تقييم ERP System	5395	نظام الاصول الثابتة	تاجير الاصول	مراقبة كميات العناصر: في متناول اليد ، على سبيل الإعارة ، عند الطلب ؛ عرض الحجوزات في طرق عرض التقويم	0	0	مراقبة كميات العناصر: في متناول اليد ، على سبيل الإعارة ، عند الطلب ؛ عرض الحجوزات في طرق عرض التقويم	0	1143	1	0
